0.01	0.001	2.542
0.06211	0.001	5.741
0.1142	0.001	7.644
0.1663	0.001	9.166
0.2184	0.001	10.41
0.2705	0.001	11.49
0.3226	0.001	12.42
0.3747	0.001	13.26
0.4268	0.001	13.9
0.4789	0.001	14.43
0.5311	0.001	14.88
0.5832	0.001	15.18
0.6353	0.001	15.36
0.6874	0.001	15.4
0.7395	0.001	15.22
0.7916	0.001	14.82
0.8437	0.001	14.01
0.8958	0.001	12.71
0.9479	0.001	10
1	0.001	1
0.01	0.002	1.975
0.06211	0.002	4.175
0.1142	0.002	5.524
0.1663	0.002	6.591
0.2184	0.002	7.466
0.2705	0.002	8.209
0.3226	0.002	8.864
0.3747	0.002	9.44
0.4268	0.002	9.94
0.4789	0.002	10.34
0.5311	0.002	10.68
0.5832	0.002	10.94
0.6353	0.002	11.09
0.6874	0.002	11.15
0.7395	0.002	11.05
0.7916	0.002	10.8
0.8437	0.002	10.22
0.8958	0.002	9.159
0.9479	0.002	7.27
1	0.002	1
0.01	0.005	1.568
0.06211	0.005	2.828
0.1142	0.005	3.631
0.1663	0.005	4.278
0.2184	0.005	4.822
0.2705	0.005	5.307
0.3226	0.005	5.733
0.3747	0.005	6.117
0.4268	0.005	6.411
0.4789	0.005	6.652
0.5311	0.005	6.862
0.5832	0.005	7.034
0.6353	0.005	7.161
0.6874	0.005	7.225
0.7395	0.005	7.226
0.7916	0.005	7.073
0.8437	0.005	6.708
0.8958	0.005	6.084
0.9479	0.005	5.035
1	0.005	1
0.01	0.01	1.322
0.06211	0.01	2.067
0.1142	0.01	2.669
0.1663	0.01	3.151
0.2184	0.01	3.55
0.2705	0.01	3.893
0.3226	0.01	4.183
0.3747	0.01	4.419
0.4268	0.01	4.625
0.4789	0.01	4.804
0.5311	0.01	4.969
0.5832	0.01	5.097
0.6353	0.01	5.191
0.6874	0.01	5.26
0.7395	0.01	5.268
0.7916	0.01	5.196
0.8437	0.01	4.973
0.8958	0.01	4.525
0.9479	0.01	3.706
1	0.01	1
0.01	0.02	1.253
0.06211	0.02	1.651
0.1142	0.02	2.009
0.1663	0.02	2.309
0.2184	0.02	2.577
0.2705	0.02	2.822
0.3226	0.02	3.037
0.3747	0.02	3.222
0.4268	0.02	3.411
0.4789	0.02	3.557
0.5311	0.02	3.675
0.5832	0.02	3.776
0.6353	0.02	3.838
0.6874	0.02	3.875
0.7395	0.02	3.863
0.7916	0.02	3.827
0.8437	0.02	3.684
0.8958	0.02	3.405
0.9479	0.02	2.89
1	0.02	1
0.01	0.05	1.19
0.06211	0.05	1.362
0.1142	0.05	1.522
0.1663	0.05	1.664
0.2184	0.05	1.813
0.2705	0.05	1.965
0.3226	0.05	2.073
0.3747	0.05	2.202
0.4268	0.05	2.322
0.4789	0.05	2.456
0.5311	0.05	2.542
0.5832	0.05	2.611
0.6353	0.05	2.649
0.6874	0.05	2.688
0.7395	0.05	2.695
0.7916	0.05	2.711
0.8437	0.05	2.64
0.8958	0.05	2.48
0.9479	0.05	2.152
1	0.05	1
